REFERENCE,SPECIES,ISLAND,POINT_Y,POINT_X,RESERVE,TYPE,LOCALITY,ELEV_FT,ACC,DATE_,YEAR,RECENT,CODE,M,F,NUM,COLLECTOR,COLLECTION,NOTES,RECHECKED,GROUP,SUBGROUP,Duplicate,WAYPOINT,ZONE,BAND,EASTING,NORTHING,N,W,ORDER_WITH,ORDER_OVER,TAXONOMIC_,BY_ENTERED,BY_NAME
KYK database,adiastola,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,5/7/68,1968,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1557,39
KYK database,adiastola,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,2/4/72,1972,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1572,57
KYK database,adiastola,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,4/27/72,1972,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1573,58
KYK database,adiastola,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,1/12/73,1973,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1576,63
KYK database,adiastola,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,,,4/29/87,1987,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1594,82
"Montgomery, 1975",adiastola,Maui,20.84459525,-156.5551345,West Maui,FR,Hanaula,4100,,4/28/72,1972,N,P84,,,19,,ex Cyanea stems,,,adiastola,adiastola,,,,,,,,,,,,440,59
UHH,adiastola,Maui,20.84459525,-156.5551345,West Maui,FR,"Hanaula, Pohakea Gulch",4100,A,5/28/11,2011,Y,m0407-04,,5,5,KNM,on bait sponge,,,adiastola,adiastola,,Hanaula,4,Q,754412.0911,2306881.011,20.84459525,-156.5551345,1784,29,47,3842,113
UHH,adiastola,Maui,20.85795,-156.55323,Waikapu,private,Waikapu Valley,1700,,10/16/11,2011,Y,m0462-04,,1,1,KNM,in passive trap,,,adiastola,adiastola,,,,,,,,,,,,3988,117
UHH,adiastola,Maui,20.85809,-156.55728,Waikapu,private,Waikapu Valley,2300,,10/16/11,2011,Y,m0456-02,,1,1,KNM,on Touchardia,,,adiastola,adiastola,,,,,,,,,,,,3986,115
UHH,adiastola,Maui,20.85809,-156.55728,Waikapu,private,Waikapu Valley,2300,,10/16/11,2011,Y,m0457-03,,1,1,KNM,on Cyanea flowers,,,adiastola,adiastola,,,,,,,,,,,,3987,116
KYK database,adiastola,Maui,20.86943,-156.53807,,private,Kapilau Ridge,,,4/10/71,1971,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1567,49
KYK database,adiastola,Maui,20.91595441,-156.5936539,Puu Kukui Preserve,MLP,Puu Kukui,,,7/16/69,1969,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1564,46
"Montgomery, 1975",adiastola,Maui,20.91596563,-156.5936388,Puu Kukui Preserve,MLP,Puu Kukui,,,8/31/64,1964,N,,,,3,,ex Cyanea fruit,,,adiastola,adiastola,,,,,,,,,,,,438,9
KYK database,adiastola,Maui,20.93102549,-156.6106948,Puu Kukui Preserve,MLP,Puu Kukui,,,7/20/71,1971,N,,,,,,,,,adiastola,adiastola,,,,,,,,,,,,1569,53
